transaction_id,customer_id,amount,transaction_type,transaction_time,location
1401,CUST28,3996.61,deposit,2027-02-23 20:57:15,
1402,CUST8,,deposit,2026-05-21 20:57:15,
1403,CUST46,$9136.25,withdraw,2027-03-02 20:57:15,Aden
1404,CUST49,811.42,123,2026-12-20 20:57:15,Aden
1371,CUST4,8048.45,deposit,invalid-timestamp-999,Aden
1302,CUST9,4860.82,transfer,2026-05-21 20:57:15,Ibb
1407,CUST36,7494.98,payment,2026-05-21T20:57:15.814796,Taiz
1408,CUST15,3116.32,withdraw,21/05/2026 20:57,Ibb
1409,CUST3,330.32,deposit,2026-05-21T20:57:15.814834,Aden
1410,CUST5,6382.66,transfer,1779386235,Ibb
1411,,8337.08,transfer,invalid-timestamp-999,Sanaa
1412,CUST6,6215.76,deposit,2026-05-21T20:57:15.814877,Sanaa
1413,CUST31,1023.7,deposit,1779386235,Aden
1414,CUST49,5562.71,withdraw,2026-05-21T20:57:15.814904,Sanaa
1319,CUST19,7852.73,payment,21/05/2026 20:57,Sanaa
1416,CUST40,8858.06,deposit,2026-07-28 20:57:15,Sanaa
1417,CUST30,3331.64,transfer,2026-05-21 20:57:15,Sanaa
1344,CUST19,9464.44,payment,2027-01-13 20:57:15,Ibb
1419,CUST2,3995.64,deposit,1779386235,Aden
1420,CUST44,1156.99,deposit,2026-05-21 20:57:15,Taiz
1421,CUST22,5440.28,transfer,2026-05-21T20:57:15.815049,Ibb
1422,CUST6,6095.56,withdraw,2026-05-21 20:57:15,Aden
1423,,6282.59,deposit,21/05/2026 20:57,Aden
1424,CUST28,9735.67,transfer,2026-05-21T20:57:15.815102,Ibb
1425,CUST11,INVALID_AMOUNT,withdraw,21/05/2026 20:57,Taiz
1357,CUST15,8291.24,payment,2026-05-21T20:57:15.815136,Sanaa
1427,CUST29,6014.09,deposit,21/05/2026 20:57,Aden
1428,CUST49,5608.56,withdraw,1779386235,Sanaa
1429,CUST5,96.44,deposit,1779386235,Taiz
1430,CUST30,9208.97,withdraw,2026-05-21 20:57:15,Ibb
1431,CUST43,8326.36,transfer,2026-08-23 20:57:15,Taiz
1432,CUST41,1588.85,transfer,invalid-timestamp-999,Taiz
1433,CUST50,71.44,123,2026-05-21T20:57:15.815253,Ibb
1434,CUST47,996.34,withdraw,2026-05-21 20:57:15,Aden
1396,CUST4,4185.01,payment,2026-05-30 20:57:15,Taiz
1436,CUST5,9515.31,deposit,2026-11-08 20:57:15,Sanaa
1437,CUST18,1824.61,transfer,2026-05-21 20:57:15,Aden
1438,CUST37,1634.15,deposit,2026-05-21T20:57:15.815356,Sanaa
1439,CUST28,4841.12,withdraw,21/05/2026 20:57,Aden
1436,CUST19,3998.38,payment,21/05/2026 20:57,Ibb
1441,CUST3,3096.51,transfer,2026-05-21T20:57:15.815418,Sanaa
1442,CUST46,2761.87,payment,1779386235,Aden
1400,CUST46,"4209,08",deposit,2027-01-24 20:57:15,Taiz
1444,,INVALID_AMOUNT,payment,2026-05-21T20:57:15.815474,Sanaa
1445,CUST34,-5157.44,payment,invalid-timestamp-999,Taiz
1446,CUST43,5238.17,transfer,2026-05-21 20:57:15,Sanaa
1447,CUST3,1063.28,payment,2026-05-21 20:57:15,Taiz
1448,CUST7,7414.51,withdraw,1779386235,Aden
1449,CUST18,2341.63,payment,21/05/2026 20:57,Aden
1450,CUST22,4914.4,123,invalid-timestamp-999,Sanaa
1451,CUST17,4361.91,payment,invalid-timestamp-999,
1452,CUST21,5151.01,deposit,21/05/2026 20:57,Taiz
1445,CUST9,7893.23,withdraw,21/05/2026 20:57,Ibb
1401,CUST9,,payment,1779386235,Ibb
1455,CUST18,8354.77,withdraw,21/05/2026 20:57,Sanaa
1456,CUST5,3624.18,withdraw,2026-05-21 20:57:15,Sanaa
1372,CUST4,,deposit,invalid-timestamp-999,Taiz
1458,CUST28,5537.88,withdraw,invalid-timestamp-999,Aden
1459,CUST36,4521.6,deposit,1779386235,Taiz
1460,CUST39,,transfer,2026-05-21 20:57:15,Aden
1461,CUST21,8406.79,deposit,21/05/2026 20:57,Sanaa
1462,CUST18,2570.91,transfer,1779386235,Ibb
1463,CUST17,"9356,36",payment,2026-11-03 20:57:15,Sanaa
1464,CUST48,4955.11,transfer,2026-12-27 20:57:15,Aden
1465,CUST17,3346.93,withdraw,invalid-timestamp-999,Aden
1466,CUST47,2836.84,transfer,2026-12-03 20:57:15,Taiz
1467,CUST24,2113.61,withdraw,invalid-timestamp-999,Taiz
1468,,1609.42,deposit,invalid-timestamp-999,Taiz
1469,CUST47,3806.63,payment,2026-05-21T20:57:15.815863,Ibb
1470,CUST46,5249.21,payment,21/05/2026 20:57,Taiz
1471,CUST29,1781.67,payment,1779386235,Aden
1472,CUST27,1123.59,transfer,1779386235,Aden
1473,CUST12,2425.81,withdraw,invalid-timestamp-999,Sanaa
1474,CUST32,5609.89,transfer,2026-05-21 20:57:15,Sanaa
1475,CUST48,INVALID_AMOUNT,payment,invalid-timestamp-999,Taiz
1476,CUST22,7970.56,deposit,2027-03-17 20:57:15,Sanaa
1477,,8687.36,withdraw,2026-05-21 20:57:15,Sanaa
1478,CUST4,,withdraw,2026-05-21T20:57:15.816005,Sanaa
1479,CUST20,-8356.21,deposit,2026-05-21 20:57:15,Aden
1480,CUST14,6176.77,payment,21/05/2026 20:57,Sanaa
1481,CUST4,1109.91,payment,1779386235,Ibb
1482,CUST19,9759.94,payment,2026-10-27 20:57:15,Taiz
1483,CUST26,117.77,deposit,2026-05-21T20:57:15.816091,Taiz
1484,CUST37,3693.04,withdraw,2026-05-21T20:57:15.816105,Ibb
1485,CUST17,6131.49,deposit,21/05/2026 20:57,Ibb
1486,CUST32,1234.49,deposit,2026-05-21 20:57:15,Ibb
1487,CUST28,$626.92,transfer,21/05/2026 20:57,Ibb
1488,CUST31,289.8,123,2026-05-21 20:57:15,Aden
1489,CUST29,,payment,21/05/2026 20:57,Aden
1490,CUST21,$7974.12,deposit,invalid-timestamp-999,Taiz
1491,CUST14,9261.8,transfer,1779386235,Sanaa
1492,CUST13,6663.88,withdraw,2026-08-23 20:57:15,Sanaa
1475,CUST22,INVALID_AMOUNT,transfer,2026-05-21T20:57:15.816259,Aden
1494,CUST32,6686.1,transfer,21/05/2026 20:57,Aden
1495,CUST25,2147.67,payment,2026-05-21 20:57:15,Ibb
1496,CUST9,477.56,withdraw,1779386235,Taiz
1471,CUST22,6244.43,withdraw,2026-05-21T20:57:15.816324,Ibb
1498,CUST48,8154.35,deposit,21/05/2026 20:57,Aden
1499,CUST48,$5257.12,transfer,21/05/2026 20:57,Sanaa
1500,CUST46,684.38,withdraw,2026-05-21 20:57:15,Ibb
1501,CUST39,6637.11,transfer,1779386235,Sanaa
1501,CUST39,6637.11,transfer,1779386235,Sanaa
1502,CUST49,3294.01,deposit,2026-05-21 20:57:15,Aden
1503,CUST43,,transfer,21/05/2026 20:57,Aden
1504,CUST36,796.07,payment,1779386235,Sanaa
1505,CUST49,5883.52,withdraw,invalid-timestamp-999,Aden
1506,,-8112.46,transfer,21/05/2026 20:57,Aden
1507,CUST7,1067.24,payment,2026-05-21T20:57:15.816496,Sanaa
1508,CUST4,7362.44,transfer,2026-05-21 20:57:15,Sanaa
1509,CUST29,5006.63,transfer,2026-05-21T20:57:15.816531,Ibb
1459,CUST11,2704.72,transfer,2027-05-07 20:57:15,
1511,CUST3,4049.4,withdraw,2026-05-21T20:57:15.816569,Ibb
1512,CUST11,232.86,123,2027-03-28 20:57:15,Sanaa
1513,CUST44,-392.08,deposit,1779386235,Aden
1513,CUST44,-392.08,deposit,1779386235,Aden
1514,CUST3,7092.43,transfer,21/05/2026 20:57,Taiz
1514,CUST3,7092.43,transfer,21/05/2026 20:57,Taiz
1515,CUST4,4163.8,withdraw,invalid-timestamp-999,Sanaa
1516,CUST50,3560.43,123,invalid-timestamp-999,Ibb
1517,,5662.08,payment,1779386235,Aden
1518,CUST45,3303.76,payment,21/05/2026 20:57,Ibb
1519,CUST20,9503.52,withdraw,2026-09-19 20:57:15,Sanaa
1520,CUST41,3792.65,withdraw,2026-05-21 20:57:15,Ibb
1521,CUST33,1504.53,transfer,2027-05-19 20:57:15,Sanaa
1522,CUST1,2229.05,transfer,invalid-timestamp-999,Ibb
1523,CUST49,1553.37,deposit,invalid-timestamp-999,Sanaa
1524,CUST50,8709.87,transfer,2026-07-20 20:57:15,Taiz
1525,CUST39,752.52,deposit,2026-05-21T20:57:15.816806,Ibb
1525,CUST39,752.52,deposit,2026-05-21T20:57:15.816806,Ibb
1526,CUST14,345.8,transfer,2026-05-21 20:57:15,Aden
1527,CUST14,5881.37,withdraw,21/05/2026 20:57,Taiz
1528,CUST38,8258.25,123,21/05/2026 20:57,Sanaa
1529,CUST50,$2574.98,withdraw,invalid-timestamp-999,Ibb
1530,CUST38,1454.8,deposit,1779386235,Ibb
1530,CUST38,1454.8,deposit,1779386235,Ibb
1531,CUST39,1153.7,123,21/05/2026 20:57,Ibb
1433,CUST41,4342.3,deposit,1779386235,Ibb
1533,CUST8,3448.9,payment,2026-06-19 20:57:15,Taiz
1534,,INVALID_AMOUNT,withdraw,2027-02-20 20:57:15,Ibb
1535,CUST15,7169.77,payment,2026-05-21T20:57:15.816988,Ibb
1536,CUST3,-7520.52,transfer,21/05/2026 20:57,Ibb
1537,CUST49,5373.38,payment,2026-05-21T20:57:15.817022,Ibb
1538,CUST24,5738.97,transfer,2026-05-21T20:57:15.817037,Taiz
1539,CUST28,5585.61,deposit,1779386235,Ibb
1540,CUST47,6227.15,deposit,invalid-timestamp-999,Aden
1541,CUST21,9025.44,payment,2026-05-21T20:57:15.817075,Taiz
1542,CUST30,1235.99,payment,2026-05-21T20:57:15.817089,Sanaa
1543,CUST11,9654.33,withdraw,invalid-timestamp-999,
1544,CUST6,3028.45,withdraw,21/05/2026 20:57,Ibb
1544,CUST6,3028.45,withdraw,21/05/2026 20:57,Ibb
1543,CUST1,4414.53,deposit,1779386235,Ibb
1543,CUST1,4414.53,deposit,1779386235,Ibb
1546,CUST26,2381.7,withdraw,2026-05-21 20:57:15,Ibb
1547,CUST10,$9674.2,deposit,21/05/2026 20:57,Ibb
1548,,4430.66,withdraw,invalid-timestamp-999,Taiz
1549,CUST11,,deposit,21/05/2026 20:57,Sanaa
1550,CUST7,8856.57,withdraw,2026-05-31 20:57:15,
1551,CUST40,INVALID_AMOUNT,transfer,2026-05-21 20:57:15,Aden
1552,CUST31,668.02,transfer,1779386235,Taiz
1553,CUST28,8922.71,deposit,2026-05-25 20:57:15,Taiz
1554,CUST28,9696.45,deposit,1779386235,Taiz
1555,CUST33,1877.8,withdraw,2026-05-21 20:57:15,Taiz
1556,CUST31,7431.55,deposit,21/05/2026 20:57,Taiz
1557,CUST34,8911.02,transfer,2027-03-30 20:57:15,Aden
1558,CUST3,199.72,payment,1779386235,Aden
1558,CUST3,199.72,payment,1779386235,Aden
1559,CUST10,2811.26,withdraw,2026-05-21 20:57:15,Taiz
1560,CUST43,6011.34,transfer,2026-05-21 20:57:15,Sanaa
1561,CUST44,3824.5,deposit,invalid-timestamp-999,Taiz
1562,CUST15,1025.62,payment,2026-05-21 20:57:15,Sanaa
1563,CUST47,6155.7,transfer,2027-03-17 20:57:15,Ibb
1564,CUST14,4132.18,123,21/05/2026 20:57,Ibb
1565,CUST22,5513.72,deposit,2026-05-21 20:57:15,Sanaa
1566,CUST23,9556.26,payment,2026-05-25 20:57:15,Ibb
1567,CUST15,8576.78,payment,2026-08-24 20:57:15,
1568,CUST25,5168.21,deposit,2027-04-15 20:57:15,Sanaa
1569,CUST12,470.02,payment,1779386235,Aden
1569,CUST12,470.02,payment,1779386235,Aden
1570,CUST37,$8151.94,payment,invalid-timestamp-999,Ibb
1571,CUST21,7087.92,payment,invalid-timestamp-999,Sanaa
1572,CUST8,,withdraw,2026-05-21T20:57:15.817628,
1573,CUST16,5628.02,withdraw,2026-08-13 20:57:15,Aden
1574,CUST33,7834.72,payment,21/05/2026 20:57,Taiz
1575,CUST40,1171.62,payment,2026-05-21T20:57:15.817681,Taiz
1576,CUST33,9644.27,transfer,2026-05-21T20:57:15.817695,Aden
1577,CUST17,"484,01",deposit,2026-05-21T20:57:15.817709,Sanaa
1578,CUST36,"3148,44",transfer,1779386235,Ibb
1579,CUST31,3160.11,transfer,21/05/2026 20:57,Aden
1580,,4139.73,123,1779386235,Taiz
1581,CUST40,3875.34,deposit,2026-05-21 20:57:15,Taiz
1582,CUST13,INVALID_AMOUNT,123,2026-07-19 20:57:15,Aden
1583,CUST30,247.43,transfer,2026-05-21 20:57:15,Ibb
1546,CUST25,"2610,11",withdraw,2026-05-21 20:57:15,Sanaa
1585,CUST35,5852.5,deposit,2026-05-21 20:57:15,Sanaa
1586,CUST42,3688.07,deposit,2026-05-21T20:57:15.817868,Sanaa
1587,CUST5,2686.9,deposit,2026-09-28 20:57:15,Taiz
1588,CUST13,9279.47,withdraw,invalid-timestamp-999,
1589,CUST50,747.13,transfer,2027-04-08 20:57:15,Aden
1590,CUST41,-5165.99,deposit,21/05/2026 20:57,Taiz
1591,CUST47,3557.58,payment,1779386235,Ibb
1592,CUST29,108.3,transfer,invalid-timestamp-999,Aden
1593,,4876.21,withdraw,21/05/2026 20:57,Sanaa
1594,CUST45,6469.99,transfer,2026-05-21T20:57:15.817998,Taiz
